npc_id,name,exp_max,hp_max,drop_table_id,current_grade,proposed_grade,reason
49,Crop,0,12000,0,2,1,exp_max < 50
50,Energy Sphere,0,60,0,2,1,exp_max < 50
51,Gate,0,12000,0,2,1,exp_max < 50
52,Gate,0,12000,0,2,1,exp_max < 50
53,Mcgaffin,0,18000,0,2,1,exp_max < 50
54,Perry,0,18000,0,2,1,exp_max < 50
55,Devlin,0,18000,0,2,1,exp_max < 50
56,Shop Keeper,0,60,0,2,1,exp_max < 50
57,Sorcerer,0,60,0,2,1,exp_max < 50
58,Warehouse Keeper,0,60,0,2,1,exp_max < 50
59,Guard,0,690,0,2,1,exp_max < 50
60,Guard,0,690,0,2,1,exp_max < 50
61,Guard,0,690,0,2,1,exp_max < 50
62,BlackSmith Keeper,0,60,0,2,1,exp_max < 50
63,Cityhall Officer,0,60,0,2,1,exp_max < 50
64,Guildhall Officer,0,60,0,2,1,exp_max < 50
65,Gail,0,60,0,2,1,exp_max < 50
66,Arrow Guard Tower,0,3000,20093,2,1,exp_max < 50
67,Arrow Guard Tower,0,3000,20094,2,1,exp_max < 50
68,Cannon Guard Tower,0,3000,20095,2,1,exp_max < 50
69,Cannon Guard Tower,0,3000,20096,2,1,exp_max < 50
70,Mana Collector,0,3000,20097,2,1,exp_max < 50
71,Mana Collector,0,3000,20098,2,1,exp_max < 50
72,Detector,0,3000,20099,2,1,exp_max < 50
73,Detector,0,3000,20100,2,1,exp_max < 50
74,Energy Shield Generator,0,3000,20101,2,1,exp_max < 50
75,Energy Shield Generator,0,3000,20102,2,1,exp_max < 50
76,Grand Magic Generator,0,300000,20103,2,1,exp_max < 50
77,Grand Magic Generator,0,300000,20104,2,1,exp_max < 50
78,Mana Stone,0,300000,20105,2,1,exp_max < 50
79,Light War Beetle,0,1500,20106,2,1,exp_max < 50
80,Light War Beetle,0,1500,20107,2,1,exp_max < 50
81,God's Hand Knight,0,2100,20108,2,1,exp_max < 50
82,God's Hand Knight,0,4800,20109,2,1,exp_max < 50
83,Temple Knight,0,2100,20110,2,1,exp_max < 50
84,Battle Golem,0,4800,20111,2,1,exp_max < 50
85,Catapult,0,510,20112,2,1,exp_max < 50
86,Catapult,0,510,20113,2,1,exp_max < 50
87,Catapult,0,510,20114,2,1,exp_max < 50
88,Catapult,0,510,20115,2,1,exp_max < 50
89,Catapult,0,510,20116,2,1,exp_max < 50
90,Catapult,0,510,20117,2,1,exp_max < 50
91,Catapult,0,510,20118,2,1,exp_max < 50
92,Catapult,0,510,20119,2,1,exp_max < 50
93,Catapult,0,510,20120,2,1,exp_max < 50
94,Catapult,0,510,20121,2,1,exp_max < 50
95,Catapult,0,510,20122,2,1,exp_max < 50
96,Catapult,0,510,20123,2,1,exp_max < 50
97,Catapult,0,3000,20124,2,1,exp_max < 50
98,Catapult,0,3000,20125,2,1,exp_max < 50
99,Sorceress,0,1800,20126,2,1,exp_max < 50
100,Sorceress,0,1800,20127,2,1,exp_max < 50
101,Ancient Temple Knight,0,4800,20128,2,1,exp_max < 50
102,Ancient Temple Knight,0,4800,20129,2,1,exp_max < 50
103,Elf Master,0,1500,20130,2,1,exp_max < 50
104,Elf Master,0,1500,20131,2,1,exp_max < 50
105,Dark Shadow Knight,0,3000,20132,2,1,exp_max < 50
106,Dark Shadow Knight,0,3000,20133,2,1,exp_max < 50
107,Heavy Battle Tank,0,3000,20134,2,1,exp_max < 50
108,Heavy Battle Tank,0,3000,20135,2,1,exp_max < 50
